RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
470980060260000,Whiteside,60,Morrison CUSD 6,Morrison,496.0,496.3
470980060260001,Whiteside,60,Morrison High School,Morrison,498.3,498.8
470983010170000,Whiteside,3010,Rock Falls Twp HSD 301,Rock Falls,495.0,466.1
470983010170001,Whiteside,3010,Rock Falls Township High School,Rock Falls,495.0,466.1
480721500250000,Peoria,1500,Peoria SD 150,Peoria,455.2,442.4
480721500250023,Peoria,1500,Manual Academy,Peoria,411.4,392.2
480721500250024,Peoria,1500,Peoria High School,Peoria,423.4,415.5
480721500250025,Peoria,1500,Richwoods High School,Peoria,525.8,512.6
480722650260000,Peoria,2650,Farmington Central CUSD 265,Farmington,492.0,473.4
480722650260001,Peoria,2650,Farmington Central High Sch,Farmington,492.0,473.4
480723090260000,Peoria,3090,Brimfield CUSD 309,Brimfield,534.9,528.8
480723090260003,Peoria,3090,Brimfield High School,Brimfield,534.9,528.8
480723100160000,Peoria,3100,Limestone CHSD 310,Peoria,495.0,473.4
480723100160001,Peoria,3100,Limestone Community High School,Peoria,495.8,474.1
480723210260000,Peoria,3210,Il Valley Central USD 321,Chillicothe,509.8,495.5
480723210260007,Peoria,3210,Il Valley Central High School,Chillicothe,513.1,498.1
480723220260000,Peoria,3220,Elmwood CUSD 322,Elmwood,539.3,531.6
480723220260004,Peoria,3220,Elmwood High School,Elmwood,539.3,531.6
480723230260000,Peoria,3230,Dunlap CUSD 323,Peoria,581.6,590.2
480723230260004,Peoria,3230,Dunlap High School,Dunlap,581.6,590.2
480723250260000,Peoria,3250,Peoria Heights CUSD 325,Peoria Heights,487.7,446.6
480723250260005,Peoria,3250,Peoria Heights High School,Peoria Heights,487.7,446.6
480723260260000,Peoria,3260,Princeville CUSD 326,Princeville,520.0,547.5
480723260260005,Peoria,3260,Princeville High School,Princeville,520.0,547.5
480723270260000,Peoria,3270,Illini Bluffs CUSD 327,Glasford,511.8,510.3
480723270260008,Peoria,3270,Illini Bluffs High School,Glasford,511.8,510.3
